"","parm_cd","description","characteristicname","measureunitcode","resultsamplefraction","resulttemperaturebasis","resultstatisticalbasis","resulttimebasis","resultweightbasis","resultparticlesizebasis","last_rev_dt"
"59","00199","Depth to 50 percent of surface light, feet","Light attenuation, depth at 50%","ft","","","","","","","2009-09-24"
"60","00294","Chemical oxygen demand, soluble, dry atmospheric deposition, milligrams per kilogram","Chemical oxygen demand","mg/kg","","","","","","","2008-02-21"
"61","00296","Chemical oxygen demand, insoluble, dry atmospheric deposition, milligrams per kilogram","Chemical oxygen demand","mg/kg","","","","","","","2008-02-21"
"62","00297","Chemical oxygen demand, total, dry atmospheric deposition, milligrams per kilogram","Chemical oxygen demand","mg/kg","Total","","","","","","2008-02-21"
"63","00300","Dissolved oxygen, water, unfiltered, milligrams per liter","Oxygen","mg/l","Dissolved","","","","","","2008-02-21"
"64","00301","Dissolved oxygen, water, unfiltered, percent of saturation","Oxygen","% saturatn","Dissolved","","","","","","2008-02-21"
"65","00310","Biochemical oxygen demand, water, unfiltered, 5 days at 20 degrees Celsius, milligrams per liter","Biochemical oxygen demand, standard conditions","mg/l","Total","20 deg C","","5 Day","","","2008-06-23"
"66","00315","Biochemical oxygen demand, water, unfiltered, 7 days at 20 degrees Celsius, milligrams per liter","Biochemical oxygen demand, non-standard conditions","mg/l","Total","20 deg C","","7 Day","","","2008-02-21"
"67","00319","Ultimate biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter","Biochemical oxygen demand, non-standard conditions","mg/l","Total","20 deg C","","Ultimate","","","2008-02-21"
"68","00320","Ultimate carbonaceous biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter","Carbonaceous biochemical oxygen demand, non-standard conditions","mg/l","Total","20 deg C","","Ultimate","","","2008-02-21"
"69","00321","Ultimate nitrogenous biochemical oxygen demand, water, unfiltered, milligrams per liter","Nitrogenous biochemical oxygen demand","mg/l","Total","","","Ultimate","","","2008-02-21"
"70","00324","Biochemical oxygen demand, water, unfiltered, 20 days at 20 degrees Celsius, milligrams per liter","Biochemical oxygen demand, non-standard conditions","mg/l","Total","20 deg C","","20 Day","","","2008-02-21"
"71","00335","Chemical oxygen demand, low level, water, unfiltered, milligrams per liter","Chemical oxygen demand, (low level)","mg/l","Total","","","","","","2008-02-21"
"72","00339","Chemical oxygen demand, bed sediment, total, dry weight, milligrams per kilogram","Chemical oxygen demand","mg/kg","Bed Sediment","","","","Dry","","2008-03-25"
"73","00340","Chemical oxygen demand, high level, water, unfiltered, milligrams per liter","Chemical oxygen demand, (high level)","mg/l","Total","","","","","","2008-02-21"
"74","00349","Biochemical oxygen demand, water, unfiltered, 30 days at 20 degrees Celsius, milligrams per liter","Biochemical oxygen demand, non-standard conditions","mg/l","Total","20 deg C","","30 Day","","","2008-02-21"
"75","00359","Biochemical oxygen demand, water, filtered, 5 days at 20 degrees Celsius, milligrams per liter","Biochemical oxygen demand, standard conditions","mg/l","Dissolved","20 deg C","","5 Day","","","2009-06-23"
"76","00400","pH, water, unfiltered, field, standard units","pH","std units","Total","","","","","","2008-02-21"
"77","00402","Specific conductance, non-temperature corrected, water, unfiltered, microsiemens per centimeter","Specific conductance","uS/cm","Total","","","","","","2008-02-21"
"78","00403","pH, water, unfiltered, laboratory, standard units","pH, lab","std units","Total","","","","","","2013-04-05"
"79","00405","Carbon dioxide, water, unfiltered, milligrams per liter","Carbon dioxide","mg/l","Total","","","","","","2014-04-01"
"80","00409","Acid neutralizing capacity, water, unfiltered, Gran titration, microequivalents per liter","Alkalinity","ueq/L","Total","","","","","","2009-03-24"
"81","00410","Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Total","","","","","","2009-03-24"
"82","00411","Acid neutralizing capacity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Total","","","","","","2008-02-21"
"83","00413","Acid neutralizing capacity, water, unfiltered, Gran titration, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Total","","","","","","2008-02-21"
"84","00415","Acid neutralizing capacity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Total","","","","","","2009-03-24"
"85","00416","Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Total","","","","","","2008-09-23"
"86","00417","Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Total","","","","","","2008-02-21"
"87","00418","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Dissolved","","","","","","2008-02-21"
"88","00419","Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Total","","","","","","2008-09-23"
"89","00420","Hydroxide, water, unfiltered, milligrams per liter","Hydroxide","mg/l","Total","","","","","","2008-02-21"
"90","00421","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Dissolved","","","","","","2008-02-21"
"91","00425","Bicarbonate, water, unfiltered, milligrams per liter as calcium carbonate","Bicarbonate","mg/l CaCO3","Total","","","","","","2008-03-25"
"92","00430","Carbonate, water, unfiltered, milligrams per liter as calcium carbonate","Carbonate (CO3)","mg/l CaCO3","Total","","","","","","2009-03-24"
"93","00431","Acid neutralizing capacity, water, unfiltered, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Total","","","","","","2008-02-21"
"94","00435","Acidity, water, unfiltered, milligrams per liter as calcium carbonate","Acidity","mg/l CaCO3","Total","","","","","","2008-02-21"
"95","00436","Mineral acidity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate","Acidity, mineral methyl orange (as CaCO3)","mg/l CaCO3","Total","","","","","","2008-02-21"
"96","00437","Carbon dioxide acidity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate","Acidity, total, phenolphthalein (as CaCO3)","mg/l CaCO3","Total","","","","","","2008-02-21"
"97","00440","Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter","Bicarbonate","mg/l","Total","","","","","","2008-03-25"
"98","00445","Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, field, milligrams per liter","Carbonate (CO3)","mg/l","Total","","","","","","2008-02-21"
"99","00446","Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter","Carbonate (CO3)","mg/l","Total","","","","","","2008-09-23"
"100","00447","Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter","Carbonate (CO3)","mg/l","Total","","","","","","2008-09-23"
"101","00448","Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, laboratory, milligrams per liter","Carbonate (CO3)","mg/l","Total","","","","","","2008-02-21"
"102","00449","Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter","Bicarbonate","mg/l","Total","","","","","","2008-09-23"
"103","00450","Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter","Bicarbonate","mg/l","Total","","","","","","2008-09-23"
"104","00451","Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter","Bicarbonate","mg/l","Total","","","","","","2008-03-25"
"105","00452","Carbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter","Carbonate (CO3)","mg/l","Dissolved","","","","","","2008-09-23"
"106","00453","Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter","Bicarbonate","mg/l","Dissolved","","","","","","2008-09-23"
"107","00480","Salinity, water, unfiltered, parts per thousand","Salinity","ppth","Total","","","","","","2008-02-21"
