"","parm_cd","description","characteristicname","measureunitcode","resultsamplefraction","resulttemperaturebasis","resultstatisticalbasis","resulttimebasis","resultweightbasis","resultparticlesizebasis","last_rev_dt"
"1093","26506","Thorium-230 counting error, suspended sediment, picocuries per liter","Thorium-230","pCi/L","Suspended","","Counting Error","","","","2008-09-23"
"1094","26507","Thorium-230, bed sediment, dry weight, picocuries per gram","Thorium-230","pCi/g","Bed Sediment","","","","Dry","","2008-03-25"
"1095","26629","Thorium-228, bed sediment, dry weight, picocuries per gram","Thorium-228","pCi/g","Bed Sediment","","","","Dry","","2008-03-25"
"1096","26631","Thorium-232, bed sediment, dry weight, picocuries per gram","Thorium-232","pCi/g","Bed Sediment","","","","Dry","","2008-03-25"
"1097","27701","Zirconium-95, water, unfiltered, picocuries per liter","Zirconium-95","pCi/L","Total","","","","","","2012-01-03"
"1098","27702","Zirconium-95 counting error, water, unfiltered, picocuries per liter","Zirconium-95","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1099","27801","Niobium-95, water, unfiltered, picocuries per liter","Niobium-95","pCi/L","Total","","","","","","2008-09-23"
"1100","27802","Niobium-95 counting error, water, unfiltered, picocuries per liter","Niobium-95","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1101","27901","Ruthenium-103, water, unfiltered, picocuries per liter","Ruthenium-103","pCi/L","Total","","","","","","2008-09-23"
"1102","27902","Ruthenium-103 counting error, water, unfiltered, picocuries per liter","Ruthenium-103","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1103","28001","Ruthenium-106, water, unfiltered, picocuries per liter","Ruthenium-106","pCi/L","Total","","","","","","2008-09-23"
"1104","28002","Ruthenium-106 counting error, water, unfiltered, picocuries per liter","Ruthenium-106","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1105","28005","Radiocesium, water, filtered, Cs-137 curve, picocuries per liter","Cesium Radionuclides","pCi/L","Dissolved","","","","","","2014-10-03"
"1106","28006","Radiocesium, suspended sediment, Cs-137 curve, picocuries per liter","Cesium Radionuclides","pCi/L","Suspended","","","","","","2014-10-03"
"1107","28007","Radiocesium, water, unfiltered, Cs-137 curve, picocuries per liter","Cesium Radionuclides","pCi/L","Total","","","","","","2014-10-03"
"1108","28008","Radioruthenium, water, filtered, Ru-106 curve, picocuries per liter","Ruthenium Radionuclides","pCi/L","Dissolved","","","","","","2014-10-03"
"1109","28009","Radioruthenium, suspended sediment, Ru-106 curve, picocuries per liter","Ruthenium Radionuclides","pCi/L","Suspended","","","","","","2014-10-03"
"1110","28010","Radioruthenium, water, unfiltered, Ru-106 curve, picocuries per liter","Ruthenium Radionuclides","pCi/L","Total","","","","","","2014-10-03"
"1111","28011","Uranium (natural), water, unfiltered, micrograms per liter","Uranium","ug/l","Total","","","","","","2014-10-03"
"1112","28012","Uranium (natural), water, unfiltered, picocuries per liter","Uranium","pCi/L","Total","","","","","","2014-10-03"
"1113","28014","Uranium-234, bed sediment, dry weight, picocuries per gram","Uranium-234","pCi/g","Bed Sediment","","","","Dry","","2008-03-25"
"1114","28016","Uranium-238, bed sediment, dry weight, picocuries per gram","Uranium","pCi/g","Bed Sediment","","","","Dry","","2014-10-03"
"1115","28301","Iodine-131, water, unfiltered, picocuries per liter","Iodine-131","pCi/L","Total","","","","","","2008-09-23"
"1116","28302","Iodine-131 counting error, water, unfiltered, picocuries per liter","Iodine-131","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1117","28401","Cesium-137, water, unfiltered, picocuries per liter","Cesium-137","pCi/L","Total","","","","","","2008-09-23"
"1118","28402","Cesium-137 counting error, water, unfiltered, picocuries per liter","Cesium-137","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1119","28403","Cesium-137, water, filtered, picocuries per liter","Cesium-137","pCi/L","Dissolved","","","","","","2008-09-23"
"1120","28404","Cesium-137, suspended sediment, picocuries per liter","Cesium-137","pCi/L","Suspended","","","","","","2008-09-23"
"1121","28405","Cesium-137 counting error, suspended sediment, picocuries per liter","Cesium-137","pCi/L","Suspended","","Counting Error","","","","2008-09-23"
"1122","28406","Cesium-137 counting error, water, filtered, picocuries per liter","Cesium-137","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1123","28410","Cesium-134, water, filtered, picocuries per liter","Cesium-134","pCi/L","Dissolved","","","","","","2008-09-23"
"1124","28411","Cesium-134 counting error, water, filtered, picocuries per liter","Cesium-134","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1125","28412","Cesium-134, suspended sediment, picocuries per liter","Cesium-134","pCi/L","Suspended","","","","","","2008-09-23"
"1126","28413","Cesium-134 counting error, suspended sediment, picocuries per liter","Cesium-134","pCi/L","Suspended","","Counting Error","","","","2008-09-23"
"1127","28414","Cesium-134, water, unfiltered, picocuries per liter","Cesium-134","pCi/L","Total","","","","","","2008-09-23"
"1128","28415","Cesium-134 counting error, water, unfiltered, picocuries per liter","Cesium-134","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1129","28601","Barium-140, water, unfiltered, picocuries per liter","Barium-140","pCi/L","Total","","","","","","2008-09-23"
"1130","28602","Barium-140 counting error, water, unfiltered, picocuries per liter","Barium-140","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1131","28701","Lanthanum-140, water, unfiltered, picocuries per liter","Lanthanum-140","pCi/L","Total","","","","","","2008-09-23"
"1132","28702","Lanthanum-140 counting error, water, unfiltered, picocuries per liter","Lanthanum-140","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1133","28801","Cerium-141, water, unfiltered, picocuries per liter","Cerium-141","pCi/L","Total","","","","","","2008-09-23"
"1134","28802","Cerium-141 counting error, water, unfiltered, picocuries per liter","Cerium-141","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1135","28901","Cerium-144, water, unfiltered, picocuries per liter","Cerium-144","pCi/L","Total","","","","","","2008-09-23"
"1136","28902","Cerium-144 counting error, water, unfiltered, picocuries per liter","Cerium-144","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1137","29301","Zinc-65, water, unfiltered, picocuries per liter","Zinc-65","pCi/L","Total","","","","","","2008-09-23"
"1138","29302","Zinc-65 counting error, water, unfiltered, picocuries per liter","Zinc-65","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1139","29401","Chromium-51, water, unfiltered, picocuries per liter","Chromium-51","pCi/L","Total","","","","","","2012-01-03"
"1140","29402","Chromium-51 counting error, water, unfiltered, picocuries per liter","Chromium-51","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1141","29501","Manganese-54, water, unfiltered, picocuries per liter","Manganese-54","pCi/L","Total","","","","","","2008-09-23"
"1142","29502","Manganese-54 counting error, water, unfiltered, picocuries per liter","Manganese-54","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1143","29601","Cobalt-60, water, unfiltered, picocuries per liter","Cobalt-60","pCi/L","Total","","","","","","2008-09-23"
"1144","29602","Cobalt-60 counting error, water, unfiltered, picocuries per liter","Cobalt-60","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1145","29631","Scandium-46, water, filtered, picocuries per liter","Scandium-46","pCi/L","Dissolved","","","","","","2008-09-23"
"1146","29632","Scandium-46 counting error, water, filtered, picocuries per liter","Scandium-46","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1147","29633","Scandium-46, suspended sediment, picocuries per liter","Scandium-46","pCi/L","Suspended","","","","","","2008-09-23"
"1148","29634","Scandium-46 counting error, suspended sediment, picocuries per liter","Scandium-46","pCi/L","Suspended","","Counting Error","","","","2008-09-23"
"1149","29635","Scandium-46, water, unfiltered, picocuries per liter","Scandium-46","pCi/L","Total","","","","","","2008-09-23"
"1150","29636","Scandium-46 counting error, water, unfiltered, picocuries per liter","Scandium-46","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1151","29797","Bicarbonate, water, unfiltered, Gran titration, field, milligrams per liter","Bicarbonate","mg/l","Total","","","","","","2008-06-23"
"1152","29798","Carbonate, water, unfiltered, Gran titration, field, milligrams per liter","Carbonate (CO3)","mg/l","Total","","","","","","2008-02-21"
"1153","29799","Hydroxide, water, unfiltered, Gran titration, field, milligrams per liter","Hydroxide","mg/l","Total","","","","","","2008-02-21"
"1154","29800","Hydroxide, water, filtered, Gran titration, field, milligrams per liter","Hydroxide","mg/l","Dissolved","","","","","","2008-02-21"
"1155","29801","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Dissolved","","","","","","2008-09-23"
"1156","29802","Alkalinity, water, filtered, Gran titration, field, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Dissolved","","","","","","2008-09-23"
"1157","29803","Alkalinity, water, filtered, Gran titration, laboratory, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Dissolved","","","","","","2008-09-23"
"1158","29804","Bicarbonate, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter","Bicarbonate","mg/l","Dissolved","","","","","","2008-09-23"
"1159","29805","Bicarbonate, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter","Bicarbonate","mg/l","Dissolved","","","","","","2008-09-23"
"1160","29806","Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter","Bicarbonate","mg/l","Dissolved","","","","","","2008-09-23"
"1161","29807","Carbonate, water, filtered, fixed endpoint (pH 8.3) titration, field, milligrams per liter","Carbonate (CO3)","mg/l","Dissolved","","","","","","2008-09-23"
"1162","29808","Carbonate, water, filtered, fixed endpoint (pH 8.3) titration, laboratory, milligrams per liter","Carbonate (CO3)","mg/l","Dissolved","","","","","","2008-09-23"
"1163","29809","Carbonate, water, filtered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter","Carbonate (CO3)","mg/l","Dissolved","","","","","","2008-09-23"
"1164","29810","Hydroxide, water, filtered, fixed endpoint (pH 10.4) titration, field, milligrams per liter","Hydroxide","mg/l","Dissolved","","","","","","2008-09-23"
"1165","29811","Hydroxide, water, filtered, fixed endpoint (pH 10.4) titration, laboratory, milligrams per liter","Hydroxide","mg/l","Dissolved","","","","","","2008-09-23"
"1166","29812","Hydroxide, water, filtered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter","Hydroxide","mg/l","Dissolved","","","","","","2008-09-23"
"1167","29813","Acid neutralizing capacity, water, unfiltered, Gran titration, field, milligrams per liter as calcium carbonate","Alkalinity","mg/l CaCO3","Total","","","","","","2008-09-23"
"1168","29814","Aluminum, suspended sediment, total digestion, dry weight, milligrams per kilogram","Aluminum","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1169","29815","Aluminum, soil, recoverable, dry weight, milligrams per kilogram","Aluminum","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1170","29816","Antimony, suspended sediment, total digestion, dry weight, milligrams per kilogram","Antimony","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1171","29817","Antimony, soil, recoverable, dry weight, milligrams per kilogram","Antimony","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1172","29818","Arsenic, suspended sediment, total digestion, dry weight, milligrams per kilogram","Arsenic","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1173","29819","Arsenic, soil, recoverable, dry weight, milligrams per kilogram","Arsenic","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1174","29820","Barium, suspended sediment, total digestion, dry weight, milligrams per kilogram","Barium","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1175","29821","Barium, soil, recoverable, dry weight, milligrams per kilogram","Barium","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1176","29822","Beryllium, suspended sediment, total digestion, dry weight, milligrams per kilogram","Beryllium","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1177","29823","Beryllium, soil, recoverable, dry weight, milligrams per kilogram","Beryllium","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1178","29824","Boron, suspended sediment, total digestion, dry weight, milligrams per kilogram","Boron","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1179","29825","Boron, soil, recoverable, dry weight, milligrams per kilogram","Boron","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1180","29826","Cadmium, suspended sediment, total digestion, dry weight, milligrams per kilogram","Cadmium","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1181","29827","Cadmium, soil, recoverable, dry weight, milligrams per kilogram","Cadmium","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1182","29828","Calcium, soil, recoverable, dry weight, milligrams per kilogram","Calcium","mg/kg","Recoverable","","","","Dry","","2008-09-23"
"1183","29829","Chromium, suspended sediment, total digestion, dry weight, milligrams per kilogram","Chromium","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1184","29830","Chromium, soil, recoverable, dry weight, milligrams per kilogram","Chromium","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1185","29831","Cobalt, soil, recoverable, dry weight, milligrams per kilogram","Cobalt","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1186","29832","Copper, suspended sediment, total digestion, dry weight, milligrams per kilogram","Copper","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1187","29833","Copper, soil, recoverable, dry weight, milligrams per kilogram","Copper","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1188","29834","Iron, suspended sediment, total digestion, dry weight, milligrams per kilogram","Iron","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1189","29835","Iron, soil, recoverable, dry weight, milligrams per kilogram","Iron","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1190","29836","Lead, suspended sediment, total digestion, dry weight, milligrams per kilogram","Lead","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1191","29837","Lead, soil, recoverable, dry weight, milligrams per kilogram","Lead","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1192","29838","Magnesium, soil, recoverable, dry weight, milligrams per kilogram","Magnesium","mg/kg","Recoverable","","","","Dry","","2008-09-23"
"1193","29839","Manganese, suspended sediment, total digestion, dry weight, milligrams per kilogram","Manganese","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1194","29840","Manganese, soil, recoverable, dry weight, milligrams per kilogram","Manganese","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1195","29841","Mercury, suspended sediment, total digestion, dry weight, milligrams per kilogram","Mercury","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1196","29842","Mercury, soil, recoverable, dry weight, milligrams per kilogram","Mercury","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1197","29843","Molybdenum, suspended sediment, total digestion, dry weight, milligrams per kilogram","Molybdenum","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1198","29844","Molybdenum, soil, recoverable, dry weight, milligrams per kilogram","Molybdenum","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1199","29845","Nickel, suspended sediment, total digestion, dry weight, milligrams per kilogram","Nickel","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1200","29846","Nickel, soil, recoverable, dry weight, milligrams per kilogram","Nickel","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1201","29847","Selenium, suspended sediment, total digestion, dry weight, milligrams per kilogram","Selenium","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1202","29848","Selenium, soil, recoverable, dry weight, milligrams per kilogram","Selenium","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1203","29849","Silicon, soil, recoverable, dry weight, milligrams per kilogram","Silicon","mg/kg","Recoverable","","","","Dry","","2008-09-23"
"1204","29850","Silver, suspended sediment, total digestion, dry weight, milligrams per kilogram","Silver","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1205","29851","Sodium, soil, recoverable, dry weight, milligrams per kilogram","Sodium","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1206","29852","Thallium, soil, recoverable, dry weight, milligrams per kilogram","Thallium","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1207","29853","Vanadium, suspended sediment, total digestion, dry weight, milligrams per kilogram","Vanadium","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1208","29854","Vanadium, soil, recoverable, dry weight, milligrams per kilogram","Vanadium","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1209","29855","Zinc, suspended sediment, total digestion, dry weight, milligrams per kilogram","Zinc","mg/kg","Suspended","","","","Dry","","2010-09-24"
"1210","29856","Zinc, soil, recoverable, dry weight, milligrams per kilogram","Zinc","mg/kg","Recoverable","","","","Dry","","2010-09-24"
"1211","29857","Actinium-228, water, unfiltered, picocuries per liter","Actinium-228","pCi/L","Total","","","","","","2008-09-23"
"1212","29858","Actinium-228 counting error, water, unfiltered, picocuries per liter","Actinium-228","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1213","29859","Actinium-228, water, filtered, picocuries per liter","Actinium-228","pCi/L","Dissolved","","","","","","2008-09-23"
"1214","29860","Actinium-228 counting error, water, filtered, picocuries per liter","Actinium-228","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1215","29861","Silver-108, water, unfiltered, picocuries per liter","Silver-108","pCi/L","Total","","","","","","2008-09-23"
"1216","29862","Silver-108 counting error, water, unfiltered, picocuries per liter","Silver-108","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1217","29863","Silver-108, water, filtered, picocuries per liter","Silver-108","pCi/L","Dissolved","","","","","","2008-09-23"
"1218","29864","Silver-108 counting error, water, filtered, picocuries per liter","Silver-108","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1219","29865","Americium-241, water, unfiltered, picocuries per liter","Americium-241","pCi/L","Total","","","","","","2008-09-23"
"1220","29866","Americium-241 counting error, water, unfiltered, picocuries per liter","Americium-241","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1221","29867","Americium-241, water, filtered, picocuries per liter","Americium-241","pCi/L","Dissolved","","","","","","2008-09-23"
"1222","29868","Americium-241 counting error, water, filtered, picocuries per liter","Americium-241","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1223","29869","Barium-140, water, filtered, picocuries per liter","Barium-140","pCi/L","Dissolved","","","","","","2008-09-23"
"1224","29870","Barium-140 counting error, water, filtered, picocuries per liter","Barium-140","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1225","29871","Beryllium-7, water, unfiltered, picocuries per liter","Beryllium-7","pCi/L","Total","","","","","","2008-09-23"
"1226","29872","Beryllium-7 counting error, water, unfiltered, picocuries per liter","Beryllium-7","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1227","29873","Beryllium-7, water, filtered, picocuries per liter","Beryllium-7","pCi/L","Dissolved","","","","","","2008-09-23"
"1228","29874","Beryllium-7 counting error, water, filtered, picocuries per liter","Beryllium-7","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1229","29875","Bismuth-214, water, filtered, picocuries per liter","Bismuth-214","pCi/L","Dissolved","","","","","","2008-09-23"
"1230","29876","Bismuth-214 counting error, water, filtered, picocuries per liter","Bismuth-214","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1231","29877","Cerium-141, water, filtered, picocuries per liter","Cerium-141","pCi/L","Dissolved","","","","","","2008-09-23"
"1232","29878","Cerium-141 counting error, water, filtered, picocuries per liter","Cerium-141","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1233","29879","Curium-242, water, unfiltered, picocuries per liter","Curium-242","pCi/L","Total","","","","","","2008-09-23"
"1234","29880","Curium-242 counting error, water, unfiltered, picocuries per liter","Curium-242","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1235","29881","Curium-242, water, filtered, picocuries per liter","Curium-242","pCi/L","Dissolved","","","","","","2008-09-23"
"1236","29882","Curium-242 counting error, water, filtered, picocuries per liter","Curium-242","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1237","29883","Curium-244, water, unfiltered, picocuries per liter","Curium-244","pCi/L","Total","","","","","","2008-09-23"
"1238","29884","Curium-244 counting error, water, unfiltered, picocuries per liter","Curium-244","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1239","29885","Curium-244, water, filtered, picocuries per liter","Curium-244","pCi/L","Dissolved","","","","","","2008-09-23"
"1240","29886","Curium-244 counting error, water, filtered, picocuries per liter","Curium-244","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1241","29887","Cobalt-57, water, unfiltered, picocuries per liter","Cobalt-57","pCi/L","Total","","","","","","2008-09-23"
"1242","29888","Cobalt-57 counting error, water, unfiltered, picocuries per liter","Cobalt-57","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1243","29889","Cobalt-57, water, filtered, picocuries per liter","Cobalt-57","pCi/L","Dissolved","","","","","","2008-09-23"
"1244","29890","Cobalt-57 counting error, water, filtered, picocuries per liter","Cobalt-57","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1245","29891","Cobalt-58, water, unfiltered, picocuries per liter","Cobalt-58","pCi/L","Total","","","","","","2008-09-23"
"1246","29892","Cobalt-58 counting error, water, unfiltered, picocuries per liter","Cobalt-58","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1247","29893","Cobalt-58, water, filtered, picocuries per liter","Cobalt-58","pCi/L","Dissolved","","","","","","2008-09-23"
"1248","29894","Cobalt-58 counting error, water, filtered, picocuries per liter","Cobalt-58","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1249","29895","Chromium-51, water, filtered, picocuries per liter","Chromium-51","pCi/L","Dissolved","","","","","","2008-09-23"
"1250","29896","Chromium-51 counting error, water, filtered, picocuries per liter","Chromium-51","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1251","29901","Europium-155, water, unfiltered, picocuries per liter","Europium-155","pCi/L","Total","","","","","","2008-09-23"
"1252","29902","Europium-155 counting error, water, unfiltered, picocuries per liter","Europium-155","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1253","29903","Europium-155, water, filtered, picocuries per liter","Europium-155","pCi/L","Dissolved","","","","","","2008-09-23"
"1254","29904","Europium-155 counting error, water, filtered, picocuries per liter","Europium-155","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1255","29905","Hafnium-175, water, unfiltered, picocuries per liter","Hafnium-175","pCi/L","Total","","","","","","2008-09-23"
"1256","29906","Hafnium-175 counting error, water, unfiltered, picocuries per liter","Hafnium-175","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1257","29907","Hafnium-175, water, filtered, picocuries per liter","Hafnium-175","pCi/L","Dissolved","","","","","","2008-09-23"
"1258","29908","Hafnium-175 counting error, water, filtered, picocuries per liter","Hafnium-175","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1259","29909","Hafnium-181, water, unfiltered, picocuries per liter","Hafnium-181","pCi/L","Total","","","","","","2008-09-23"
"1260","29910","Hafnium-181 counting error, water, unfiltered, picocuries per liter","Hafnium-181","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1261","29911","Hafnium-181, water, filtered, picocuries per liter","Hafnium-181","pCi/L","Dissolved","","","","","","2008-09-23"
"1262","29912","Hafnium-181 counting error, water, filtered, picocuries per liter","Hafnium-181","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1263","29913","Iodine-129, water, filtered, picocuries per liter","Iodine-129","pCi/L","Dissolved","","","","","","2008-09-23"
"1264","29914","Iodine-129 counting error, water, filtered, picocuries per liter","Iodine-129","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1265","29915","Iodine-131, water, filtered, picocuries per liter","Iodine-131","pCi/L","Dissolved","","","","","","2008-09-23"
"1266","29916","Iodine-131 counting error, water, filtered, picocuries per liter","Iodine-131","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1267","29917","Iodine-133, water, unfiltered, picocuries per liter","Iodine-133","pCi/L","Total","","","","","","2008-09-23"
"1268","29918","Iodine-133 counting error, water, unfiltered, picocuries per liter","Iodine-133","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1269","29919","Iodine-133, water, filtered, picocuries per liter","Iodine-133","pCi/L","Dissolved","","","","","","2008-09-23"
"1270","29920","Iodine-133 counting error, water, filtered, picocuries per liter","Iodine-133","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1271","29921","Lanthanum-140, water, filtered, picocuries per liter","Lanthanum-140","pCi/L","Dissolved","","","","","","2008-09-23"
"1272","29922","Lanthanum-140 counting error, water, filtered, picocuries per liter","Lanthanum-140","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1273","29927","Molybdenum-99, water, unfiltered, picocuries per liter","Molybdenum-99","pCi/L","Total","","","","","","2008-09-23"
"1274","29928","Molybdenum-99 counting error, water, unfiltered, picocuries per liter","Molybdenum-99","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1275","29929","Molybdenum-99, water, filtered, picocuries per liter","Molybdenum-99","pCi/L","Dissolved","","","","","","2008-09-23"
"1276","29930","Molybdenum-99 counting error, water, filtered, picocuries per liter","Molybdenum-99","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1277","29931","Sodium-24, water, unfiltered, picocuries per liter","Sodium-24","pCi/L","Total","","","","","","2008-09-23"
"1278","29932","Sodium-24 counting error, water, unfiltered, picocuries per liter","Sodium-24","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1279","29933","Sodium-24, water, filtered, picocuries per liter","Sodium-24","pCi/L","Dissolved","","","","","","2008-09-23"
"1280","29934","Sodium-24 counting error, water, filtered, picocuries per liter","Sodium-24","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1281","29935","Niobium-95, water, filtered, picocuries per liter","Niobium-95","pCi/L","Dissolved","","","","","","2008-09-23"
"1282","29936","Niobium-95 counting error, water, filtered, picocuries per liter","Niobium-95","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1283","29937","Neodymium-147, water, unfiltered, picocuries per liter","Neodymium-147","pCi/L","Total","","","","","","2008-09-23"
"1284","29938","Neodymium-147 counting error, water, unfiltered, picocuries per liter","Neodymium-147","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1285","29939","Neodymium-147, water, filtered, picocuries per liter","Neodymium-147","pCi/L","Dissolved","","","","","","2008-09-23"
"1286","29940","Neodymium-147 counting error, water, filtered, picocuries per liter","Neodymium-147","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1287","29941","Neptunium-239, water, unfiltered, picocuries per liter","Neptunium-239","pCi/L","Total","","","","","","2008-09-23"
"1288","29942","Neptunium-239 counting error, water, unfiltered, picocuries per liter","Neptunium-239","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1289","29943","Neptunium-239, water, filtered, picocuries per liter","Neptunium-239","pCi/L","Dissolved","","","","","","2008-09-23"
"1290","29944","Neptunium-239 counting error, water, filtered, picocuries per liter","Neptunium-239","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1291","29945","Lead-212, water, filtered, picocuries per liter","Lead-212","pCi/L","Dissolved","","","","","","2008-09-23"
"1292","29946","Lead-212 counting error, water, filtered, picocuries per liter","Lead-212","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1293","29947","Lead-214, water, filtered, picocuries per liter","Lead-214","pCi/L","Dissolved","","","","","","2008-09-23"
"1294","29948","Lead-214 counting error, water, filtered, picocuries per liter","Lead-214","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1295","29953","Ruthenium-103, water, filtered, picocuries per liter","Ruthenium-103","pCi/L","Dissolved","","","","","","2008-09-23"
"1296","29954","Ruthenium-103 counting error, water, filtered, picocuries per liter","Ruthenium-103","pCi/L","Dissolved","","Counting Error","","","","2008-09-23"
"1297","29955","Antimony-124, water, unfiltered, picocuries per liter","Antimony-124","pCi/L","Total","","","","","","2008-09-23"
"1298","29956","Antimony-124 counting error, water, unfiltered, picocuries per liter","Antimony-124","pCi/L","Total","","Counting Error","","","","2008-09-23"
"1299","29957","Antimony-124, water, filtered, picocuries per liter","Antimony-124","pCi/L","Dissolved","","","","","","2008-09-23"
